MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,BT,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,Freq,3rd Party Synd. Remarks,ADU Baths Full,ADU Baths Partial,ADU Bedrooms,ADU Building Type,ADU Description,ADU Kitchen,ADU Main Entry Floor,ADU Meter,ADU Occupied,ADU Rents For,ADU Sq. Ft.,ADU SqFt Source,ADU Y/N,Age,Agent Has Ownership,Agent Hit Count,Agent Related to Principal,Assessors Parcel No,Associated Document Count,Available to Show,Board ID,Branded Media Link,Branded Media Link 2,Builder/Architect,Buyer Agent DRE Num.,Buyer Broker DRE Number,Census Tract,City Transfer Tax,Class,Client Hit Count,Closing Date,Co Buy Agent DRE Num.,Co List Agent DRE Num.,Co-List Agent email,Co-List Agent Fax,Complex Name,Concessions at COE,Confidential Remarks,County,Cross Street,Cumulative DOM,Cumulative DOMLS,Days On MLS,Directions to Property,Disclosures Link,Dist/Nbrhood/Sub,Elementary School Distric,Entry Agent First Name,Entry Agent ID,Entry Agent Last Name,Entry Agent License ID,Expire Date,Filtered Address,FIPS Code,Fireplaces,Floor Unit is on,Foreclosure Status,Gate Code,General Date,Geocode Quality,High School District,HOA,HOA Management Companies,HOA Name,HOA Name (Other),HOA Phone,Homesnap Appt. Scheduling,Hotsheet Date,How Sold,Input Date,List $/SqFt,List Agent DRE Num.,List Date,Listing Agt email,Listing Agt Fax,Listing Broker DRE Number,Listing Service,Listing Type,Listing Visibility Type,Lockbox Location,Model,New Subdivision,Number of offers,Occpnt Req 24 Hr Notice,Occupant Name,Occupant Phone,Occupied By,Off Market Date,Old Complex,Old Concessions,Old Elem,Old High,Old HOA Name,Old Middle,Old MLS #,Old Subdivision,Original Price,Ownership Type,Pending Date,Pending Litigation,Percent Owner Occ,Photo Permission,Picture Count,Point of Sale Ordinance,Pool,Preferred Agent Fax,Previous Price,Price,Price Date,Price Per SQFT,Primary Showing Contact,Primary Showing Phone,Printed Neighborhood Rpt,Property ID,Public Remarks,Radar ID,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Sales Office Info Remarks,Showing Instruction,Showing Schedule Link,Sold Price Per SQFT,Source,Special Information,State,Status Date,Stories,Subdivision (Other),Subdivision Profile Rmks,Supra Box?,Tax ID,TIC % Owner Offered,Total # of Garage and Parking Spaces,Unbranded Media Link,Unbranded Media Link 2,Units in Complex,Update Date,VOW Address,VOW AVM,VOW Comment,VOW Include,WiFi Last,ZIDX Only House #,ZIDX Only Street Dir,ZIDX Only Street Name,Zip,Zoning
41031025,SLD,15,106 Hawthorne Way,,SAN JOSE,9999,"$1,200,000","$1,175,000",DE,1560.0,3.0,1.0,1.0,Y,1.0,1924.0,0.130000,"5,856",,,"Jacqualeene R Campbell - 510-714-3209 - Charming Vintage Bungalow in Downtown San Jose! Bright and Airy Living Room with Gorgeous Original Hardwood Floors, Decorative Stained Glass Windows, Detailed Ceiling and Cozy Wood Burning Fireplace. Glass Double Doors Lead you into the Formal Dining Room with Built in Storage Hutch and Decorative Chandelier. Unique Kitchen with Tile Countertops, Open Cabinets, Gas Stove, Butler Swing Door and Built-in Ironing Board. All 3 Bedrooms Beam with Natural Light, Hardwood Floors and Ample Closet Space. Updated Bathroom with Subway Tile Stall Shower, Decorative Tile Flooring, Oak Wood Vanity and New Toilet. Half Bath and Laundry Room Located in the Back of the House. Entertaining Low Maintenance Backyard with Covered Deck/Pergola Area, Beautiful Flowers, Garden Beds and Detached Garage. Additional Boast: New Interior Paint, Unfinished Basement, HVAC and Upgraded Insulation. Great Commuter Location! Close to 101, 880 & 87, VA Trains, ACE Trains & San Jose Airport. Located Near Ryland Park, Rotary Ryland Pool, Japan Town, San Pedro Square, San Jose State University and Future Google Campus. Come Customize this Home to Make it Yours!",,,,,,,,,,,,,,99.0,,,,259-19-079,0,,BAY EAST,,,,02154411,01511642,,Yes,RESIDENTIAL,,8/14/2023,,2105634.0,,,,,"Pre escrow is Open with Old Republic Title: Kristin Hart. Please include with your Offer, Signed Disclosures Cover Sheet, Lender Pre Approval and Proof of Funds. UPLOAD OFFERS VIA HomeLight Management.  Please Reach out to either of us with any questions. Offers due Thursday 7/6 at Noon.",Santa Clara,North First st,15,15,15,North First Street to Hawthorn,,Not Listed,,,,,,,,6085.0,1.0,,,,7/7/2023,,,No,,,,,,8/15/2023,Conventional,6/22/2023 10:37 AM,$769,992813,6/22/2023,,,1902981.0,Full Service,Excl Right,Market Listing,Back Door,,,3.0,No,,,Vacant,7/7/2023,,,,,,,41031025,,"$1,200,000",,7/7/2023,,,,7,No,No,,"$1,200,000","$1,175,000",8/15/2023,$753.21,Go and Show,510-714-0550,Yes,,"Charming Vintage Bungalow in Downtown San Jose! Bright and Airy Living Room with Gorgeous Original Hardwood Floors, Decorative Stained Glass Windows, Detailed Ceiling and Cozy Wood Burning Fireplace. Glass Double Doors Lead you into the Formal Dining Room with Built in Storage Hutch and Decorative Chandelier. Unique Kitchen with Tile Countertops, Open Cabinets, Gas Stove, Butler Swing Door and Built-in Ironing Board. All 3 Bedrooms Beam with Natural Light, Hardwood Floors and Ample Closet Space. Updated Bathroom with Subway Tile Stall Shower, Decorative Tile Flooring, Oak Wood Vanity and New Toilet. Half Bath and Laundry Room Located in the Back of the House. Entertaining Low Maintenance Backyard with Covered Deck/Pergola Area, Beautiful Flowers, Garden Beds and Detached Garage. Additional Boast: New Interior Paint, Unfinished Basement, HVAC and Upgraded Insulation. Great Commuter Location! Close to 101, 880 & 87, VA Trains, ACE Trains & San Jose Airport. Located Near Ryland Park, Rotary Ryland Pool, Japan Town, San Pedro Square, San Jose State University and Future Google Campus. Come Customize this Home to Make it Yours!",,8.0,$753,LA & BA different company/franchise,98.0,98.0,For Sale,,,,$753.21,Public Records,,CA,8/15/2023,One Story,,,Yes,259-19-079,,,,,,8/16/2023,Yes,Yes,Yes,Yes,,106.0,,Hawthorne Way,95110,
ML81920869,SLD,8,117 Rankin Avenue,,SAN JOSE,9999,"$1,148,000","$1,275,000",DE,1709.0,2.0,2.0,1.0,Y,2.0,1941.0,0.1519,"6,616",,,,,,,,,,,,,,,,,82.0,,,,259-19-011,0,,Datashare MLSListings,http://www.117RankinAve.com,,,02100575,,,Yes,RESIDENTIAL,,4/7/2023,,,,,,,"Easy to show. Go direct. Fully staged. Email for disclosures. Open House Saturday 3/11 and Sunday 3/12, 1-4pm. Offer date is Wed March 15th at 3 pm.",Santa Clara,San Pedro,8,8,8,Take Highway 87 to Taylor Street. Turn right on Sa,,,San Jose Unified,,,,,,117 Rankin AVE,6085.0,1.0,,,,3/15/2023,,San Jose Unified,No,,,,,,4/7/2023,Conventional,3/7/2023 10:34 AM,$671,00853245,3/7/2023,wrigley@realtor.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Vacant,3/15/2023,,,,,,,,,"$1,148,000",,3/15/2023,,,Public,24,Yes,No,,,"$1,275,000",,$746.05,,,,81920869.0,"San Joses Vendome neighborhood is a beautiful, hidden gem near downtown San Jose. Quiet tree lined streets with character homes. Close to JapanTown, SoFi Art District, San Pedro Square. Easy access to freeways and VTA/BART. Charming split-level home, light and airy, with large rooms and hardwood floors. Updated with dual pane windows, forced air heating and air conditioning, new plumbing and electrical work. Spacious Living Room with a tall ceiling, large windows, and gas fireplace. Remodeled Kitchen with breakfast bar, refrigerator, dishwasher, and Jenn-Air stove. Dining Area with built-in hutch and French doors to rear yard. Ground floor Bonus Room and ensuite bathroom. Could be bedroom, home office, family room, or potential rental. Laundry Rm and Half Bath on ground floor. 2 large Bedrooms upstairs with hardwood floors and ensuite bathrooms. Attached 2 car Garage. Spacious lot, nicely landscaped. Beautiful rear yard with rock patios, gazebo, deck, fruit and palm trees.",,,$746,,,,For Sale,,,,$746.05,,,CA,4/7/2023,Two Story,,,,,,,http://listing.ewalk.com/ut/117_Rankin_Ave.html,,,5/5/2023,Yes,Yes,Yes,Yes,,,,,95110,R1-8
ML81919545,SLD,7,459 N 4th Street,,SAN JOSE,9999,"$1,499,000","$1,499,000",DE,1602.0,3.0,3.0,,Y,2.0,1898.0,0.145,"6,317",,,,,,,,,,,,,,,,,125.0,,,,249-45-002,0,,Datashare MLSListings,https://beyondre.marketing/459-North-4th-Street,,,02006177,,,,RESIDENTIAL,,5/1/2023,,,,,,,"This home is an amazing Victorian that brings in the original charm with modern amenities! Thanks for showing. Link to disclosures; https://app.glide.com/share/4s3OINd6pxMbEMHQ9IQ8Nb/ For offers pl include pre-approval, proof of funds and signed receipt of disclosures with your offer. Deposit to be submitted within 1 business day of offer acceptance. Please email offers to me and not through Glide. Sellers need a rent back or close until May 1st. Thanks for showing! Seller has provided links to plans and permit info. Agent makes no representations about accuracy or completeness of seller disclosures. Buyer to confirm data. Please email me for the necessary links and information. Agent has not and will not investigate the information supplied by any third parties.",Santa Clara,Hensley,7,8,8,,,,San Jose Unified,,,,,,459 N 4th ST,6085.0,,,,,3/29/2023,,San Jose Unified,No,,,,,,5/1/2023,Conventional,3/21/2023 5:00 PM,$935,01828662,3/22/2023,homes@shannadesai.com,,,,Excl Right,Market Listing,,,,,,,,Owner,3/29/2023,,,,,,,,,"$1,499,000",,3/29/2023,,,Public,65,,No,,,"$1,499,000",,$935.71,Agent,408-318-7485,,81919545.0,"Lovely Victorian home in Hensley Historic District. Extensively renovated, brought up to 2004 code w/ new electrical, plumbing, HVAC, and all but front windows (per historic guidelines.) Spacious, bright 1602 sf main floor has 11 ft ceilings, large picture windows, wood flooring, parlor w/pocket doors, living rm, 3 bed/2 bath, dining area, kitchen w/ 5-burner gas range & quartz countertops. Primary suite bath remodeled in 2019 incl heated floor & Toto Washlet. Finished basement w/ 8 ft ceilings (accessed from inside) offering 1300+ sf more space w/ full 3rd bath, laundry & 2 bonus rooms. Big outdoor covered porch overlooks the backyard and 500 sf 2-car garage (potential ADU). Great space for entertaining! Property gardens incl. 18 fruit trees, raised vegetable beds & wood-burning pizza oven.Walking distance of Japantown, Downtown & San Pedro Market, several public parks (Ryland, Backesto, St. James), & many restaurants; close to transit & proposed Google Campus.",,,$935,,,,For Sale,,Sellers have little ones and need 2 hours notice for showings and request all those entering their home wear masks (provided by the door if needed). S,,$935.71,,,CA,5/1/2023,One Story,,,,,,,https://beyondre.marketing/459-North-4th-Street/idx,,,5/6/2023,Yes,Yes,Yes,Yes,,,,,95112,RM
ML81944856,SLD,65,458 N 7th Street,,SAN JOSE,9999,"$1,099,950","$1,031,000",DE,1168.0,4.0,2.0,1.0,,0.0,1901.0,0.1468,"6,393",,,,,,,,,,,,,,,,,122.0,,,,249-49-010,0,,Datashare MLSListings,,,,01365244,,,Yes,RESIDENTIAL,,1/22/2024,,,,,,,This house has been in the same family for over 5 decades. Call LA for questions.,Santa Clara,E Empire st,65,66,66,,,,San Jose Unified,,,,,,458 N 7th ST,6085.0,,,,,12/21/2023,,San Jose Unified,No,,,,,,1/23/2024,Conventional,10/16/2023 5:00 PM,$941,00984218,10/17/2023,rob.roham@compass.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Vacant,12/21/2023,,,,,,,,,"$1,199,950",,12/21/2023,,,Public,36,No,No,,,"$1,031,000",,$882.71,,,,81944856.0,"HURRY - Gorgeous Victorian Home, move-in condition, Seller will consider credit for repairs - located in prime location just 2 blocks from Japan Town & new developments. First time on the market - has been in same family for over 5 decades....4 bd/ 2 baths, (2nd bath done many years ago, probably grandfathered in. buyer verify) Tall ceilings provide spacious feeling. Separate Studio downstairs, (approx. 12 x 12 w/ own bath- permits unknown) - Full Basement w/ 6.5 feet tall ceilings, ideal for conversion to 2nd home or living space, Huge Attic w/ tall ceilings, easily converted to more living space. Garage converted to Music studio W/ DOUBLE INSULATED WALLS. Ideal for ADU conversion- Current RM Zoning makes it easy to add more units and generate tons of RENTAL INCOME. Insulated walls and ceilings - Newer electrical & plumbing - Updated Kitchen - Foundation- reinforced Not designated as historical - Built with SOLID redwood with no hearts. Hurry this beautiful property will not last.",,,$882,,,,For Sale,,,,$882.71,,,CA,1/23/2024,One Story,,,,,,,,,,1/24/2024,Yes,Yes,Yes,Yes,,,,,95112,RM
SF424045134,SLD,53,248 N 6th Street,,SAN JOSE,9999,"$1,098,000","$900,000",DE,1332.0,3.0,1.0,0.0,,0.0,1903.0,0.142600,"6,210",,,"A Treasure Trove of period charm awaits your personal touch at 248 N. 6th Street in the heart of San Jose! Natural light cascades throughout this 1903-built home with three bedrooms, one bath (Jack and Jill), in 1,332 sq ft of living space on a huge 6,210 sq ft lot. The interior includes a: butler's pantry doubling as a breakfast nook; spacious formal dining room with beautiful built-in cabinetry and a pocket door entrance; large living room with fireplace and majestic columned front entrance. Exterior includes: front porch perfect for quiet moments; 2-car tandem side driveway; basement for storage or potential living space; back porch for washer/dryer; and unwarranted partial bath. The huge backyard awaits your vision! Whether you dream of a lush garden, outdoor entertainment space, playground or an ADU (Ancillary Dwelling Unit) for potential rental income, there's ample space to make it happen. First time on the market for over 60-years, this home offers an opportunity to blend historic architectural charm with your choices of modern convenience. Ideally located near San Jose State University, Japan Town shopping and dining areas. Don't miss the opportunity to make this your dream home! This is a Probate Sale, Sold AS-IS. No Court Confirmation required. No Death on Property.",,,,,,,,,,0.00,0,,,121.0,,,,467-02-049,0,Contact Listing Agent,Datashare San Francisco,,,,01846147,01846147,0.00,,RESIDENTIAL,,9/17/2024,,,,,,,"Fellow Real Estate Agents, Please note that this is a Probate Sale. Property is Sold AS-IS. There is NO Court Confirmation required. There was NO Death on the property. CA Probate Code rules apply to earnest money deposits. Please submit offers on CAR forms. Pre-escrow opened with WFG National Title Ins. Co., 235 Pine St. Suite 1675, San Francisco, CA 94104; Steve Salviejo, escrow officer (415)625-0401. Open House: June 30, 2024 (12pm-3pm) July 6, 2024 (12pm-3pm) July 7, 2024 (12pm-3pm) Thereafter, property will be available by appointment only with 24-hour notice. Please contact Agent: Jeannette Fisher-Kouadio at (415)859-1975 for viewing appointment. Brokers Tour: July 2, 2024 (to be confirmed)",Santa Clara,E. St James Stre,53,54,54,"248 N. 6th Street, San Jose, CA - located between",,,,,,,,,,,1.0,,,,9/12/2024,,,No,,,,,,9/18/2024,,6/25/2024 5:00 PM,$824,01754184,6/26/2024,,,1754184.0,Full Service,Excl Right,Market Listing,,,,0.0,,,,Vacant,9/12/2024,,0.0,,,,,424045134,,"$1,098,000",,9/12/2024,,,,48,,,,,"$900,000",,$675.68,Jeannette Fisher-Kouadio,415-859-1975,,530801932.0,"A Treasure Trove of period charm awaits your personal touch at 248 N. 6th Street in the heart of San Jose! Natural light cascades throughout this 1903-built home with three bedrooms, one bath (Jack and Jill), in 1,332 sq ft of living space on a huge 6,210 sq ft lot. The interior includes a: butler's pantry doubling as a breakfast nook; spacious formal dining room with beautiful built-in cabinetry and a pocket door entrance; large living room with fireplace and majestic columned front entrance. Exterior includes: front porch perfect for quiet moments; 2-car tandem side driveway; basement for storage or potential living space; back porch for washer/dryer; and unwarranted partial bath. The huge backyard awaits your vision! Whether you dream of a lush garden, outdoor entertainment space, playground or an ADU (Ancillary Dwelling Unit) for potential rental income, there's ample space to make it happen. First time on the market for over 60-years, this home offers an opportunity to blend historic architectural charm with your choices of modern convenience. Ideally located near San Jose State University, Japan Town shopping and dining areas. Don't miss the opportunity to make this your dream home! This is a Probate Sale, Sold AS-IS. No Court Confirmation required. No Death on Property.",,6.0,$675,,81.0,81.0,For Sale,,24 Hour Notice,,$675.68,Assessor Agent-Fill,Offer As Is,CA,9/17/2024,One Story,,,No,,,2.0,http://displays.obeo.com/theme12/unbraided/?Tour=00058221,,,9/18/2024,Yes,No,No,Yes,,,,,95112,
ML81974714,SLD,2,125 Hawthorne Way,,SAN JOSE,9999,"$1,880,000","$1,950,000",DE,2160.0,4.0,3.0,,Y,2.0,1918.0,0.130000,"5,663",,,,,,,,,,,,,,,,,106.0,,,,259-19-071,0,,Datashare MLSListings,,,,1800972.0,,,,RESIDENTIAL,,9/6/2024,,,,,,,Please Call Suzanne for a private showing. Downstairs bathroom permit is unknown. Sellers are not sure if the entertainment room is considered as a bedroom or not. Buyers and buyer's agent should due there own due diligence.,Santa Clara,N. San Pedro,2,3,3,,,,San Jose Unified,,,,,,125 Hawthorne WAY,6085.0,,,,,8/8/2024,,San Jose Unified,No,,,,,,9/12/2024,Conventional,8/5/2024 5:00 PM,$870,01902489,8/6/2024,suzanne.bakhtiari@redfin.com,,,,Excl Right,Market Listing,,,,,,,,Owner,8/8/2024,,,,,,,,,"$1,880,000",,8/8/2024,,,Public,25,,,,,"$1,950,000",,$902.78,,,,81974714.0,"Welcome home to one of the most charming, uniq, and well kept crafted homes built in 1918. This meticulously renovated Arts & Crafts home offers incredible details such as French pocket doors, leaded glass, Intricate moldings and wainscoting. This beautiful home offers 4 bedrooms, 3 baths, an spacious formal living room and dining room, well-appointed media room and a chef's gourmet kitchen with professional-style amenities. The large yard is a perfect setting to entertain your family, friends and a perfect playground for your little ones. The convenience and excitement of the downtown adds much more to this spectacular home. A must see!",,,$902,,,,For Sale,,"24-Hour Notice Required,Appointment Only,Do Not Go Direct,Lockbox - None",,$902.78,,,CA,9/12/2024,Two Story,,,,,,,,,,9/12/2024,Yes,Yes,Yes,Yes,,,,,95110,R1-8
ML81938211,SLD,0,82 Clayton Avenue,,SAN JOSE,9999,"$1,350,000","$1,440,000",DE,1716.0,3.0,2.0,,Y,2.0,1918.0,0.122700,"5,345",,,,,,,,,,,,,,,,,105.0,,,,259-20-006,0,,Datashare MLSListings,,,,01795593,,,,RESIDENTIAL,,9/11/2023,,,,,,,Included photos are from last year.,Santa Clara,N First St,0,1,1,,,,San Jose Unified,,,,,,82 Clayton AVE,6085.0,,,,,9/4/2023,,San Jose Unified,No,,,,,,9/11/2023,Conventional,9/3/2023 5:00 PM,$786,01951003,9/4/2023,veeral.shah@compass.com,,,,Excl Right,Market Listing,,,,,,,,Call Agent,9/4/2023,,,,,,,,,"$1,350,000",,9/4/2023,,,Private,36,,No,,,"$1,440,000",,$839.16,,,,81938211.0,"NEAR UPCOMING GOOGLE CAMPUS. FULLY UPDATED. NEW ROOF, HVAC, MASTER BATH. BRIGHT & MODERN. LARGE BACKYARD. A captivating Dream Home nestled in an established community only minutes from your daily amenities. This 3BR/2BA, 1716 sqft home stuns w/ gleaming wood floors, modern colors, an open flowing floor plan, and a large living room w/ a fireplace. Entertain in the gourmet kitchen featuring stainless-steel appliances, quartz counters, custom dual toned cabinetry, a Pinterest-ready pantry, Viking gas range, Bosch dishwasher, and an adjoining dining area w/ built in cabinetry & 2 wine refrigerators. The stunning fenced yard features a custom deck, Zen fountain, & lush landscaping. The large primary bedroom features a deep closet and remodeled ensuite bath. 2-car garage, large & ventilated basement w/ flex space opportunities- gym, office, play area, etc. Close to parks, Japan Town, shops (Trader Joes, Target, etc), highways 87/101/280/880, public transportation, dining, and more!",,,$839,,,,For Sale,,,,$839.16,,,CA,9/11/2023,One Story,,,,,,,,,,9/11/2023,Yes,Yes,Yes,Yes,,,,,95110,R1-8
ML81931688,SLD,61,660 N 2nd Street,,SAN JOSE,9999,"$1,499,000","$1,500,000",DE,2270.0,5.0,3.0,1.0,,0.0,2005.0,0.148300,"6,458",,,,,,,,,,,,,,,,,18.0,,,,249-42-028,0,,Datashare MLSListings,http://www.660north2ndstreet.com/,,,01327948,,,Yes,RESIDENTIAL,,9/5/2023,,,,,,,"Text agent to show 408-209-2291. Upstairs bedroom as been opened to a seating room off upstairs master. 3 bedrooms down and 2nd master upstairs with den/office, seating area. https://app.disclosures.io/link/660-North-2nd-Street-jvganjvf",Santa Clara,Jackson/Taylor,61,61,61,,,,San Jose Unified,,,,,,660 N 2nd ST,6085.0,,,,,8/13/2023,,San Jose Unified,No,,,,,,9/5/2023,Conventional,6/13/2023 10:08 AM,$660,70010163,6/13/2023,carrie.caggiano@compass.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Call Agent,8/13/2023,,,,,,,,,"$1,564,888",,8/13/2023,,,Public,40,No,No,,,"$1,500,000",,$660.79,,408-209-2291,,81931688.0,"Move in and start living the vibrant lifestyle Japantown has to offer! Moments to shopping, entertainment, lightrail and downtown makes this a prime location and an easy commute. This Spacious floorplan built in 2005 features 3 bedrooms downstairs including a large master suite and an additional master suite upstairs with a den/sitting room. Light bright and open with vaulted ceilings in the living room and a generous formal dining area. Freshly painted kitchen with granite counters, stainless appliances and a large pantry. Enjoy the convenience of inside laundry with this large utility room. Dual zone system keeps this home comfortable all year round. Gated drive way has room for several cars as well as the covered carport. Additional tough shed is perfect for extra storage. Easy low maintenance landscape, a large patio and a front & rear porch make this space ideal for entertaining. If your looking for space and location here it is. This home is move in ready!",,,$660,,,,For Sale,,text me then show please,,$660.79,,,CA,9/5/2023,Two Story,,,,,,,,,,9/6/2023,Yes,Yes,Yes,Yes,,,,,95112,RM
ML81973078,SLD,4,455 N 7th Street,,SAN JOSE,9999,"$1,100,000","$1,200,000",DE,1980.0,4.0,2.0,,Y,2.0,2006.0,0.140000,"6,098",,,,,,,,,,,,,,,,,18.0,,,,249-47-050,0,,Datashare MLSListings,,,,02110938,,,,RESIDENTIAL,,8/12/2024,,,,,,,"Combo Lockbox on stair rail. Code is 1783. Please turn off backyard porch light, it shines into the neighbors window. Escrow with Old Republic Title Email or text Christine for Disclosures poguerealty@gmail.com 408-439-6210 *Death on the property December 2023. Homeowner died of congestive heart failure. Needs a new roof.",Santa Clara,E Empire,4,4,4,,,,San Jose Unified,,,,,,455 N 7th ST,6085.0,1.0,,,1783,7/16/2024,,San Jose Unified,No,,,,,,8/14/2024,Conventional,7/12/2024 3:54 PM,$555,1858841.0,7/12/2024,poguerealty@gmail.com,,,,Excl Right,Market Listing,,,,,,,,Vacant,7/16/2024,,,,,,,,,"$1,100,000",,7/16/2024,,,Private,55,,No,,,"$1,200,000",,$606.06,,,,81973078.0,"Fabulous 4 bd, 2 ba, turn-key home in downtown San Jose! This house has so much to offer! New carpet. New paint inside and out. High ceilings. Double-pane, double-hung windows throughout give lots of light. Sun tubes provide additional light. Spacious living room. Built-in desk and cabinets in hallway. Laundry room with washer and dryer. Central heat and A/C. Ceiling fans throughout. Large kitchen with solid surface countertops, island, pantry, stove, fridge, microwave, and dishwasher. Adjacent dining area has a built in sidebar and flows nicely between the kitchen and the family room with fireplace, which makes it great for entertaining! Primary suite has walk in closet and ensuite bathroom featuring double sinks, large soaker tub, and separate shower. Outside, whether you sit on the front deck or under the pergola on the back patio, you can't go wrong! Large backyard provides lots of opportunity for fun! Long driveway gives plenty of room for parking. Very walkable and bikeable with great commuter access. Close to shopping, restaurants, and parks. Japan town, San Pedro Square, SAP Center, Diridon Station, San Jose State and all downtown has to offer! Buyer to verify schools. Don't miss out!",,,$606,,,,For Sale,,"Go Directly,Leave Card,Lockbox Location - See Remarks,See Remarks",,$606.06,,,CA,8/14/2024,One Story,,,,,,,,,,8/15/2024,Yes,Yes,Yes,Yes,,,,,95112,RM
ML81946782,SLD,9,10371 Serrano,,SAN JOSE,9999,"$841,000","$920,000",DE,1068.0,3.0,2.0,,,0.0,1951.0,0.126300,"5,500",,,,,,,,,,,,,,,,,72.0,,,,60124013,0,,Datashare MLSListings,,,,01403554,,,Yes,RESIDENTIAL,,12/1/2023,,,,,,,"Please call/text before showing. Disclosures and Reports ready. Seller agent is member of the selling entity. Buyer and buyer's agent to verify all sq ft on property. Starting offers review on Wednesday November 8th afternoon at 4PM. Escrow open with WFG Title, all offers to be send via disclosures io, all offers instructions in cover letter .",Santa Clara,Jerilyn Drive,9,9,9,,,,Alum Rock Union Elementary,,,,,,10371 Serrano,6085.0,,,,,11/10/2023,,San Jose Unified,No,,,,,,12/4/2023,Conventional,11/1/2023 6:47 AM,$787,1758093.0,11/1/2023,sandra.arellano@cbnorcal.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Call Agent,11/10/2023,,,,,,,,,"$841,000",,11/10/2023,,,Public,24,,No,,,"$920,000",,$861.42,,650-678-8732,,81946782.0,"Experience modern elegance in this fully remodeled 3-bedroom, 2- bathroom in Alum Rock, San Jose. This home offers an open floor plan and designer finishes. Featuring 3 spacious bedrooms, 2 full baths, laminate floors throughout, A/C and heating, double pane windows and recessed lights. The kitchen features quartz countertops and stainless steel appliances, complemented by recessed lighting throughout. An updated bathroom awaits with a large vanity sink , quartz countertops and tile floors. Recently installed roof, stucco and fence makes this home move in ready! Take advantage of a corner lot with ample space for an ADU unit or outdoor area. Centrally located near the 680 and 101 interchange, this home offers easy access to transportation routes, making daily commutes a breeze. This is a must see!",,,$861,,,,For Sale,,,,$861.42,,,CA,12/3/2023,One Story,,,,,,,,,,12/4/2023,Yes,Yes,Yes,Yes,,,,,95127,R1
